10570 sample, 497 chars
脚 -- 26 times,  0.25%
现 -- 18 times,  0.17%
让 -- 24 times,  0.23%
身 -- 19 times,  0.18%
太 -- 24 times,  0.23%
听 -- 26 times,  0.25%
劳 -- 22 times,  0.21%
破 -- 18 times,  0.17%
但 -- 19 times,  0.18%
像 -- 23 times,  0.22%
近 -- 18 times,  0.17%
工 -- 25 times,  0.24%
四 -- 31 times,  0.29%
信 -- 28 times,  0.26%
习 -- 26 times,  0.25%
敢 -- 29 times,  0.27%
车 -- 19 times,  0.18%
对 --  8 times,  0.08%
任 -- 19 times,  0.18%
呼 -- 19 times,  0.18%
活 -- 17 times,  0.16%
林 -- 18 times,  0.17%
下 -- 37 times,  0.35%
和 -- 21 times,  0.20%
吗 -- 19 times,  0.18%
实 -- 26 times,  0.25%
吧 -- 19 times,  0.18%
动 -- 22 times,  0.21%
主 -- 21 times,  0.20%
什 -- 24 times,  0.23%
草 -- 25 times,  0.24%
之 -- 13 times,  0.12%
村 -- 20 times,  0.19%
打 -- 27 times,  0.26%
高 -- 23 times,  0.22%
条 -- 21 times,  0.20%
因 -- 21 times,  0.20%
入 -- 22 times,  0.21%
孩 -- 32 times,  0.30%
自 -- 19 times,  0.18%
当 -- 29 times,  0.27%
息 -- 29 times,  0.27%
已 -- 17 times,  0.16%
出 -- 23 times,  0.22%
开 -- 25 times,  0.24%
它 -- 25 times,  0.24%
处 -- 29 times,  0.27%
文 -- 17 times,  0.16%
斗 -- 21 times,  0.20%
世 -- 19 times,  0.18%
通 -- 23 times,  0.22%
张 -- 18 times,  0.17%
带 -- 17 times,  0.16%
地 -- 23 times,  0.22%
头 -- 25 times,  0.24%
阶 -- 26 times,  0.25%
着 -- 20 times,  0.19%
装 -- 25 times,  0.24%
拉 -- 25 times,  0.24%
响 -- 24 times,  0.23%
界 -- 21 times,  0.20%
量 -- 14 times,  0.13%
黑 -- 22 times,  0.21%
坐 -- 26 times,  0.25%
土 -- 24 times,  0.23%
站 -- 17 times,  0.16%
进 -- 18 times,  0.17%
做 -- 13 times,  0.12%
伟 -- 13 times,  0.12%
满 -- 19 times,  0.18%
你 -- 14 times,  0.13%
口 -- 20 times,  0.19%
呢 -- 21 times,  0.20%
旧 -- 16 times,  0.15%
书 -- 20 times,  0.19%
快 -- 28 times,  0.26%
眼 -- 27 times,  0.26%
兴 -- 29 times,  0.27%
并 -- 24 times,  0.23%
找 -- 25 times,  0.24%
往 -- 21 times,  0.20%
者 -- 13 times,  0.12%
了 -- 35 times,  0.33%
看 -- 24 times,  0.23%
名 -- 16 times,  0.15%
意 -- 29 times,  0.27%
怕 -- 22 times,  0.21%
望 -- 19 times,  0.18%
够 -- 12 times,  0.11%
办 -- 20 times,  0.19%
急 -- 29 times,  0.27%
紧 -- 22 times,  0.21%
度 -- 22 times,  0.21%
利 -- 18 times,  0.17%
船 -- 25 times,  0.24%
许 -- 20 times,  0.19%
落 -- 15 times,  0.14%
儿 -- 17 times,  0.16%
千 -- 20 times,  0.19%
起 -- 18 times,  0.17%
细 -- 18 times,  0.17%
又 -- 15 times,  0.14%
运 -- 16 times,  0.15%
他 -- 30 times,  0.28%
变 -- 16 times,  0.15%
睛 -- 20 times,  0.19%
乡 -- 26 times,  0.25%
物 -- 14 times,  0.13%
海 -- 19 times,  0.18%
件 -- 17 times,  0.16%
特 -- 28 times,  0.26%
轻 -- 22 times,  0.21%
命 -- 22 times,  0.21%
